acc_x_total_mean,acc_y_total_mean,acc_z_total_mean,acc_x_gravity_mean,acc_y_gravity_mean,acc_z_gravity_mean,rot_x_total_mean,rot_y_total_mean,rot_z_total_mean,acc_x_total_std,acc_y_total_std,acc_z_total_std,acc_x_gravity_std,acc_y_gravity_std,acc_z_gravity_std,rot_x_total_std,rot_y_total_std,rot_z_total_std,acc_x_total_min,acc_y_total_min,acc_z_total_min,acc_x_gravity_min,acc_y_gravity_min,acc_z_gravity_min,rot_x_total_min,rot_y_total_min,rot_z_total_min,acc_x_total_max,acc_y_total_max,acc_z_total_max,acc_x_gravity_max,acc_y_gravity_max,acc_z_gravity_max,rot_x_total_max,rot_y_total_max,rot_z_total_max,acc_x_total_median,acc_y_total_median,acc_z_total_median,acc_x_gravity_median,acc_y_gravity_median,acc_z_gravity_median,rot_x_total_median,rot_y_total_median,rot_z_total_median,acc_x_total_mad,acc_y_total_mad,acc_z_total_mad,acc_x_gravity_mad,acc_y_gravity_mad,acc_z_gravity_mad,rot_x_total_mad,rot_y_total_mad,rot_z_total_mad,acc_total_sma,acc_gravity_sma,rot_total_sma,acc_x_total_energy,acc_y_total_energy,acc_z_total_energy,acc_x_gravity_energy,acc_y_gravity_energy,acc_z_gravity_energy,rot_x_total_energy,rot_y_total_energy,rot_z_total_energy,acc_x_total_iqr,acc_y_total_iqr,acc_z_total_iqr,acc_x_gravity_iqr,acc_y_gravity_iqr,acc_z_gravity_iqr,rot_x_total_iqr,rot_y_total_iqr,rot_z_total_iqr,acc_x_total_entropy,acc_y_total_entropy,acc_z_total_entropy,acc_x_gravity_entropy,acc_y_gravity_entropy,acc_z_gravity_entropy,rot_x_total_entropy,rot_y_total_entropy,rot_z_total_entropy,acc_x_total_dominant_frequency,acc_y_total_dominant_frequency,acc_z_total_dominant_frequency,acc_x_gravity_dominant_frequency,acc_y_gravity_dominant_frequency,acc_z_gravity_dominant_frequency,rot_x_total_dominant_frequency,rot_y_total_dominant_frequency,rot_z_total_dominant_frequency,acc_gravity_mean
-2.3854840070977885,9.411627694892172,0.6165198515695959,-2.3854840070977885,9.411627694892172,0.6165198515695959,0.027147616422568518,0.06809744731843882,-0.14251571998512738,2.9047471357595045,5.570529973940302,1.2316147636500503,2.9047471357595045,5.570529973940302,1.2316147636500503,1.1458090280877096,0.7849863191925327,2.656524690376915,-9.419101417573966,-1.06562505014368,-2.1251984776881363,-9.419101417573966,-1.06562505014368,-2.1251984776881363,-1.9657319989633035,-1.4362038555965309,-4.404021313356983,2.320176832449427,23.044167061041257,3.392039252858636,2.320176832449427,23.044167061041257,3.392039252858636,2.4722413878956506,3.1637280274137574,5.278451054065117,-2.3548065628776333,8.373032644827326,0.6681759172758002,-2.3548065628776333,8.373032644827326,0.6681759172758002,-0.0169593626930632,-0.0971761879295745,-1.0949001930012365,-2.220446049250313e-16,-8.881784197001252e-16,5.551115123125783e-17,-2.220446049250313e-16,-8.881784197001252e-16,5.551115123125783e-17,0.0,0.0,0.0,13.505880089725688,13.505880089725688,3.8890720756476753,14.062171465176245,119.36711190008978,1.885121068060472,14.062171465176245,119.36711190008978,1.885121068060472,1.303358459980609,0.6160266936404202,7.02230038422362,4.691104308586548,8.19502044726919,1.8173008563054887,4.691104308586548,8.19502044726919,1.8173008563054887,1.3550354640748519,0.9348560129443277,4.692558379408674,2.581799160228787,1.3306436518237252,3.568959584212982,2.581799160228787,1.3306436518237252,3.568959584212982,3.03988454411253,3.7461499777355827,2.5263598329165378,1.953125,1.953125,3.515625,1.953125,1.953125,3.515625,1.953125,5.46875,1.953125,2.547554513121326
-2.5990147408981583,10.019493020811632,0.5390523211599917,-2.5990147408981583,10.019493020811632,0.5390523211599917,0.1450053408803944,0.04085052464920171,0.0046693472511777495,3.504273661460619,6.804792475376709,1.5100031384875774,3.504273661460619,6.804792475376709,1.5100031384875774,1.1434869037947522,0.9710000322305837,3.063652708156884,-10.133156229071629,-1.06562505014368,-5.191846100465583,-10.133156229071629,-1.06562505014368,-5.191846100465583,-2.1905908966585894,-2.5017826412761144,-4.404021313356983,2.616750760142089,30.220630054292776,4.212514679594834,2.616750760142089,30.220630054292776,4.212514679594834,3.1359443848524244,3.1637280274137574,7.135007921164849,-2.0012734428303984,8.245825751167787,0.621395912426258,-2.0012734428303984,8.245825751167787,0.621395912426258,0.00878737286574575,-0.1375928514380465,-0.9423000868373613,0.0,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,14.608012510434795,14.608012510434795,4.339929001182882,18.938874534262478,146.33368164709174,2.552873527891541,18.938874534262478,146.33368164709174,2.552873527891541,1.3183735175718378,0.937143882154411,9.312661844655477,5.85558714963155,9.390905515495358,1.828633718976072,5.85558714963155,9.390905515495358,1.828633718976072,1.5507175718804258,1.115379783029218,5.310508525954404,2.282719991246564,1.4206308826970853,3.8388716297643835,2.282719991246564,1.4206308826970853,3.8388716297643835,2.9030538316072594,3.744771335065474,1.7982028389193772,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,2.653176867024488
-2.91690536698971,10.155992720361178,0.6170441951868052,-2.91690536698971,10.155992720361178,0.6170441951868052,0.1131408498468124,0.00837356305679182,0.1009890134891417,3.932247272684205,8.049500352582855,2.0683527537723974,3.932247272684205,8.049500352582855,2.0683527537723974,1.3803065079590027,1.1770149740000933,3.6632765303892634,-10.133156229071629,-1.7961573942128066,-5.191846100465583,-10.133156229071629,-1.7961573942128066,-5.191846100465583,-2.989800667996844,-2.7185856599554485,-4.389837393848397,5.708397612146129,32.75463573336094,5.846480069827431,5.708397612146129,32.75463573336094,5.846480069827431,3.1359443848524244,2.846186153188112,8.082913268269381,-2.8053386546554435,7.076228776649632,0.9652626987813424,-2.8053386546554435,7.076228776649632,0.9652626987813424,0.34934817406123353,-0.07897568701762481,-1.3215135855396034,0.0,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0,0.0,6.938893903907228e-18,0.0,15.889395156874434,15.889395156874434,5.2468593093129545,23.850104216212515,167.43243737533703,4.625404128523168,23.850104216212515,167.43243737533703,4.625404128523168,1.9031621730062076,1.3746112073832342,13.324953133492397,6.41228379604459,10.946664533684178,2.79245419097698,6.41228379604459,10.946664533684178,2.79245419097698,1.879581560357364,1.539375314331985,6.292673428625874,2.43677401086227,1.8409684627275025,3.847786078505429,2.43677401086227,1.8409684627275025,3.847786078505429,2.4772314063446452,3.5267699436049904,2.014236148244762,1.953125,1.953125,8.59375,1.953125,1.953125,8.59375,1.953125,4.296875,1.953125,2.6187105161860913
-2.5972556476656115,8.898157135053943,0.6710124267858962,-2.5972556476656115,8.898157135053943,0.6710124267858962,0.07977387818986993,-0.04372348125102712,-0.17687869823536012,4.413819661334339,7.667015401730014,2.455722796572498,4.413819661334339,7.667015401730014,2.455722796572498,1.6206898296215857,1.3609801015878928,3.7955860646624187,-11.5663039766218,-1.7961573942128066,-4.495216269033365,-11.5663039766218,-1.7961573942128066,-4.495216269033365,-3.452681560372328,-2.7185856599554485,-5.145523249717121,6.490854637631136,32.75463573336094,6.604721767961387,6.490854637631136,32.75463573336094,6.604721767961387,3.439500089537776,4.611689479380339,8.776098391871638,-2.570150611832647,6.447805335760636,0.8180462273398473,-2.570150611832647,6.447805335760636,0.8180462273398473,0.3496187828256141,-0.2288493546969751,-1.563159120765582,0.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,-1.3877787807814457e-17,0.0,15.134327179210787,15.134327179210787,5.622310485961622,26.07533930834075,137.5010824050832,6.43371826758815,26.07533930834075,137.5010824050832,6.43371826758815,2.612478805450305,1.8397077450674757,14.325209073350077,6.9233101659665,7.680693352159608,3.148359805256188,6.9233101659665,7.680693352159608,3.148359805256188,2.5303226995467805,1.6391427923815463,4.816861876427958,2.635586364996185,2.055789883018551,3.663690169405067,2.635586364996185,2.055789883018551,3.663690169405067,2.8731026761512224,3.237677968873564,2.468575116938676,1.953125,1.953125,2.34375,1.953125,1.953125,2.34375,1.953125,4.296875,1.953125,2.323971304724744
-3.0966807255131434,9.375424461812235,1.0287243946136175,-3.0966807255131434,9.375424461812235,1.0287243946136175,0.19847734071185247,-0.03935803785139244,-0.20174176744163322,4.161643609380148,6.582118501256179,2.219283860287552,4.161643609380148,6.582118501256179,2.219283860287552,1.5052373471508464,1.3299914076059902,3.525286906302298,-11.5663039766218,-0.8451385232759748,-4.495216269033365,-11.5663039766218,-0.8451385232759748,-4.495216269033365,-3.452681560372328,-2.2220848646332474,-5.145523249717121,6.490854637631136,30.38734033855308,6.604721767961387,6.490854637631136,30.38734033855308,6.604721767961387,3.439500089537776,4.611689479380339,8.776098391871638,-3.868006245635245,8.796137732691626,1.0600546414591756,-3.868006245635245,8.796137732691626,1.0600546414591756,0.3371199249413177,-0.3682601882677427,-1.19379893715145,2.220446049250313e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,8.881784197001252e-16,0.0,0.0,0.0,1.1102230246251565e-16,15.656144864050468,15.656144864050468,5.2523081803344285,26.77340219154444,130.8843968352529,5.945016444695564,26.77340219154444,130.8843968352529,5.945016444695564,2.2874316364145644,1.7566068467593863,12.371256514260136,6.6223372007692625,7.676403223460334,2.8822368669045164,6.6223372007692625,7.676403223460334,2.8822368669045164,2.420185399885042,1.3504272943451991,4.533271957950059,2.334375966178251,1.6963583746988102,3.3356839768222213,2.334375966178251,1.6963583746988102,3.3356839768222213,2.8720530257754286,3.5615086720448406,2.55052308807713,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,2.435822710304237
-3.1655620735758365,9.652817321922134,0.9721817424061511,-3.1655620735758365,9.652817321922134,0.9721817424061511,0.13437285089751735,-0.09259589784745348,-0.03348793969527929,3.4140546359912234,5.8522571228313405,1.7983927723657993,3.4140546359912234,5.8522571228313405,1.7983927723657993,1.2178125206564658,1.1196463988175067,3.0171345692218434,-9.500070144181198,-0.1908041443702928,-4.813957288276295,-9.500070144181198,-0.1908041443702928,-4.813957288276295,-2.5559737915726544,-1.9405920231778748,-4.167780194923362,5.117182633467387,26.69315522197308,4.930452556362713,5.117182633467387,26.69315522197308,4.930452556362713,2.828433736265801,3.0344232861274816,7.157550694755597,-3.9646136784723316,9.226144186289503,0.8788817940918405,-3.9646136784723316,9.226144186289503,0.8788817940918405,0.1720447717574659,-0.3412403788552488,-0.9004498220106417,2.220446049250313e-16,8.881784197001252e-16,-5.551115123125783e-17,2.220446049250313e-16,8.881784197001252e-16,-5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,15.161879986259965,15.161879986259965,4.472770071537748,21.58549160343293,127.15822604594474,4.154086587061519,21.58549160343293,127.15822604594474,4.154086587061519,1.4895369349676404,1.252388245727055,9.033104474267319,6.063754402193178,6.281286104045508,2.2484541163659837,6.063754402193178,6.281286104045508,2.2484541163659837,1.9491337560541333,1.2626585796931569,4.435696525210405,1.612744486017465,1.2744301624789685,3.0211256968014903,1.612744486017465,1.2744301624789685,3.0211256968014903,2.3560711261010296,3.377519398372274,1.5815724941586908,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,2.4864789969174814
-3.076698476083749,9.61238342535758,0.9644300766178686,-3.076698476083749,9.61238342535758,0.9644300766178686,0.08380544111473659,-0.07417574255459489,-0.02501886824467108,3.1234005158450313,5.419466649171762,1.8413510577063454,3.1234005158450313,5.419466649171762,1.8413510577063454,1.2950026912098411,0.9906764560890614,2.6637336650368373,-8.000359888942523,-0.5475686259668405,-4.813957288276295,-8.000359888942523,-0.5475686259668405,-4.813957288276295,-2.074548914004288,-1.9405920231778748,-4.167780194923362,2.857269127402381,23.885208576924114,5.1919689929675386,2.857269127402381,23.885208576924114,5.1919689929675386,3.9370373680528776,2.418694348822624,5.35155207212533,-3.9397070612857785,9.746625903688646,0.7237555700321304,-3.9397070612857785,9.746625903688646,0.7237555700321304,-0.14944309542009093,-0.24049783969873212,-0.4297878169792695,2.220446049250313e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,8.881784197001252e-16,0.0,-1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628914e-17,14.826710508920996,14.826710508920996,4.130029233647248,19.145488429629733,121.53907591849993,4.294210233231766,19.145488429629733,121.53907591849993,4.294210233231766,1.6709535099336614,0.9792743826776357,7.040669567657491,6.1584000725902825,6.123242258787409,2.248011347548869,6.1584000725902825,6.123242258787409,2.248011347548869,1.7240604250820937,1.2990390317766811,4.266305658503018,1.6078332149054173,1.1295686755134555,2.95493304097679,1.6078332149054173,1.1295686755134555,2.95493304097679,2.4109305288912855,3.3021270277659562,1.4303740860765792,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,2.5000383419638967
-3.1656943219756504,9.56882870673412,1.2522000390221157,-3.1656943219756504,9.56882870673412,1.2522000390221157,0.02371912501072357,-0.016339467256428243,-0.11036569662156423,3.1459376564442203,5.561798713844543,1.7977398096822652,3.1459376564442203,5.561798713844543,1.7977398096822652,1.3047614948818387,0.9460959186108383,2.7764750116034658,-8.462251219371755,-0.9043576982512058,-3.228415563903701,-8.462251219371755,-0.9043576982512058,-3.228415563903701,-1.6292669204205048,-1.6972937301482929,-3.323009025973481,2.393898522197329,23.21321373654448,6.003741523741742,2.393898522197329,23.21321373654448,6.003741523741742,3.9370373680528776,2.3352313110442644,5.890986120642221,-4.286756661419179,10.136988309578772,0.8083682770222829,-4.286756661419179,10.136988309578772,0.8083682770222829,-0.3502678780968531,-0.2627500200350519,-0.8026035774009681,4.440892098500626e-16,-8.881784197001252e-16,-5.551115123125783e-17,4.440892098500626e-16,-8.881784197001252e-16,-5.551115123125783e-17,2.7755575615628914e-17,-1.3877787807814457e-17,0.0,14.961246953361174,14.961246953361174,4.202170537476553,19.84122456171769,122.25441896360026,4.77462438898626,19.84122456171769,122.25441896360026,4.77462438898626,1.6896651354290788,0.8883715162834653,7.660768971658146,6.011784521902141,6.504744865825707,2.4622115538650218,6.011784521902141,6.504744865825707,2.4622115538650218,1.42861991773534,1.2764301428885803,4.674460067412092,1.4784043390125219,1.0797401631280288,2.6623625590269127,1.4784043390125219,1.0797401631280288,2.6623625590269127,2.2225834705121152,3.1682129552364207,1.3037024333901868,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,2.5517781412601965
-3.1196211952795925,9.364226081892456,1.2161349102659231,-3.1196211952795925,9.364226081892456,1.2161349102659231,0.1050678148800601,-0.08150685206926458,0.026421756829355315,3.1307115069722924,5.5868218420278035,1.4836001501086529,3.1307115069722924,5.5868218420278035,1.4836001501086529,1.2632372529328255,1.0831072593518798,2.759461114845367,-9.547190753188657,-0.9043576982512058,-2.6447571154459384,-9.547190753188657,-0.9043576982512058,-2.6447571154459384,-1.6292669204205048,-2.267343073763961,-3.445263384019885,2.393898522197329,23.57553855173225,6.003741523741742,2.393898522197329,23.57553855173225,6.003741523741742,3.503865445097317,2.7454077283691856,5.890986120642221,-3.513971830272478,9.515736093724692,0.8190140485973778,-3.513971830272478,9.515736093724692,0.8190140485973778,-0.35971648126541905,-0.34171537515616657,-0.6589253623950264,0.0,0.0,-5.551115123125783e-17,0.0,0.0,-5.551115123125783e-17,0.0,-2.7755575615628914e-17,0.0,14.414281063696341,14.414281063696341,4.312874176105733,19.456817859583495,118.65746013942763,3.6628576706402125,19.456817859583495,118.65746013942763,3.6628576706402125,1.5943406626303387,1.1705996917632564,7.555834490731154,5.827800144152616,6.205134945238081,2.0970044883776087,5.827800144152616,6.205134945238081,2.0970044883776087,1.5376363666167119,1.5434442124359775,4.730445262375458,1.9686332852347874,1.2479723699435183,2.7338955007994135,1.9686332852347874,1.2479723699435183,2.7338955007994135,2.5062476732677177,3.435544784321959,1.86018437993836,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,1.953125,7.421875,1.953125,2.4869132656262622
-3.4092333559374133,9.802681684060186,1.192933534411506,-3.4092333559374133,9.802681684060186,1.192933534411506,0.1908749604747902,-0.010246036726708055,0.18325120530694794,2.7496563244284715,5.1257532980101,1.1394286363228878,2.7496563244284715,5.1257532980101,1.1394286363228878,1.156844405512139,1.0501427566829369,2.6379515015057624,-9.547190753188657,-0.1509342879786725,-1.150662273673066,-9.547190753188657,-0.1509342879786725,-1.150662273673066,-1.352187148492859,-2.267343073763961,-3.637442097337165,1.8466337598891165,23.57553855173225,3.678715596960353,1.8466337598891165,23.57553855173225,3.678715596960353,3.503865445097317,2.7454077283691856,5.438024153354668,-3.5030593637864724,9.673760445091062,0.9814580691644612,-3.5030593637864724,9.673760445091062,0.9814580691644612,-0.0984222939489291,-0.19696152096125685,-0.2099928141553645,-2.220446049250313e-16,-8.881784197001252e-16,0.0,-2.220446049250313e-16,-8.881784197001252e-16,0.0,-6.938893903907228e-18,0.0,0.0,14.707003934862918,14.707003934862918,4.130799143526612,19.124414712842736,122.16065454863251,2.7112450846612233,19.124414712842736,122.16065454863251,2.7112450846612233,1.36426684645595,1.0942891671711987,6.938003596321892,4.832237636374015,4.806337686607315,1.7811875746088273,4.832237636374015,4.806337686607315,1.7811875746088273,1.4970458443710764,1.7110124456310092,4.7387045898397275,1.8964530927035328,1.1385038756067525,2.4601821963508623,1.8964530927035328,1.1385038756067525,2.4601821963508623,3.041075093915553,3.718225081234653,2.4488819786049016,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,3.515625,1.5625,1.5625,2.528793954178093
